timestamp,sensor_id,location,vehicle_count,average_speed,congestion_level
2026-08-01T00:00:00,T001,Central_Station,130,47.24,Low
2026-08-01T00:05:00,T001,Chatswood,47,18.14,High
2026-08-01T00:10:00,T008,Chatswood,48,27.41,Medium
2026-08-01T00:15:00,T008,Parramatta,58,14.59,High
2026-08-01T00:20:00,T006,Parramatta,58,39.05,Medium
2026-08-01T00:25:00,T007,Sydney_CBD,48,17.25,High
2026-08-01T00:30:00,T005,Mascot,67,14.82,High
2026-08-01T00:35:00,T008,Sydney_CBD,145,58.15,Low
2026-08-01T00:40:00,T006,Mascot,145,20.32,High
2026-08-01T00:45:00,T002,Mascot,77,36.28,Medium
2026-08-01T00:50:00,T002,Parramatta,38,36.44,Medium
2026-08-01T00:55:00,T009,Mascot,16,47.33,Low
2026-08-01T01:00:00,T009,Chatswood,119,45.06,Low
2026-08-01T01:05:00,T004,Central_Station,101,64.05,Low
2026-08-01T01:10:00,T007,Chatswood,33,45.82,Low
2026-08-01T01:15:00,T010,Parramatta,53,33.47,Medium
2026-08-01T01:20:00,T010,Parramatta,49,24.26,High
2026-08-01T01:25:00,T007,Sydney_CBD,99,10.08,High
2026-08-01T01:30:00,T010,Sydney_CBD,114,62.14,Low
2026-08-01T01:35:00,T010,Chatswood,123,32.94,Medium
2026-08-01T01:40:00,T003,Sydney_CBD,45,67.0,Low
2026-08-01T01:45:00,T009,Mascot,101,21.88,High
2026-08-01T01:50:00,T004,Chatswood,26,55.21,Low
2026-08-01T01:55:00,T003,Chatswood,77,43.4,Medium
2026-08-01T02:00:00,T007,Chatswood,138,36.87,Medium
2026-08-01T02:05:00,T006,Sydney_CBD,27,55.14,Low
2026-08-01T02:10:00,T005,Central_Station,61,19.71,High
2026-08-01T02:15:00,T003,Mascot,74,52.35,Low
2026-08-01T02:20:00,T002,Chatswood,33,42.34,Medium
2026-08-01T02:25:00,T001,Mascot,23,68.32,Low
2026-08-01T02:30:00,T007,Mascot,136,52.11,Low
2026-08-01T02:35:00,T001,Parramatta,118,10.59,High
2026-08-01T02:40:00,T010,Mascot,23,63.78,Low
2026-08-01T02:45:00,T003,Sydney_CBD,49,67.74,Low
2026-08-01T02:50:00,T010,Chatswood,54,33.34,Medium
2026-08-01T02:55:00,T004,Chatswood,111,45.43,Low
2026-08-01T03:00:00,T003,Chatswood,116,52.9,Low
2026-08-01T03:05:00,T001,Central_Station,30,62.91,Low
2026-08-01T03:10:00,T003,Sydney_CBD,118,57.74,Low
2026-08-01T03:15:00,T010,Mascot,84,33.97,Medium
2026-08-01T03:20:00,T010,Sydney_CBD,15,24.42,High
2026-08-01T03:25:00,T004,Sydney_CBD,57,13.68,High
2026-08-01T03:30:00,T004,Sydney_CBD,16,60.5,Low
2026-08-01T03:35:00,T005,Central_Station,33,10.74,High
2026-08-01T03:40:00,T004,Central_Station,102,40.4,Medium
2026-08-01T03:45:00,T004,Mascot,40,61.28,Low
2026-08-01T03:50:00,T010,Sydney_CBD,91,10.48,High
2026-08-01T03:55:00,T007,Central_Station,69,62.85,Low
2026-08-01T04:00:00,T005,Mascot,123,10.93,High
